ID,League,Date,Time,Matchup_EU_P,Home_Team,Visitor_Team,Home_Odd,Draw_Odd,Visitor_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,Home_Team_PTS,Visi_Team_PTS,True_Result,Winner_Odd
36,serie-a,2016-08-20,19:45,Juventus vs Fiorentina,Juventus,Fiorentina,1.5,4.06,8.06,Juventus,Juventus,0.573,N,2,1,Juventus,1.5
37,laliga,2016-08-20,21:15,FC Sevilla vs Espanyol,FC Sevilla,Espanyol,1.71,3.88,5.14,FC Sevilla,FC Sevilla,0.549,N,6,4,FC Sevilla,1.71
38,premier-league,2016-08-21,13:30,Sunderland vs Middlesbrough,Sunderland,Middlesbrough,2.74,3.07,2.94,Sunderland,Sunderland,0.408,N,1,2,Middlesbrough,2.94
39,ligue-1,2016-08-21,14:00,Guingamp vs Marseille,Guingamp,Marseille,2.86,3.11,2.69,Marseille,Guingamp,0.522,Y,2,1,Guingamp,2.86
40,premier-league,2016-08-21,16:00,West Ham Utd vs Bournemouth,West Ham Utd,Bournemouth,2.43,3.28,3.18,West Ham Utd,West Ham Utd,0.395,N,1,0,West Ham Utd,2.43
41,ligue-1,2016-08-21,16:00,Saint-Etienne vs Montpellier,Saint-Etienne,Montpellier,2.37,3.01,3.47,Saint-Etienne,Saint-Etienne,0.522,N,3,1,Saint-Etienne,2.37
42,serie-a,2016-08-21,17:00,AC Milan vs Torino,AC Milan,Torino,1.9,3.47,4.44,AC Milan,AC Milan,0.503,N,3,2,AC Milan,1.9
43,laliga,2016-08-21,17:15,Sporting Gijon vs Athletic Bilbao,Sporting Gijon,Athletic Bilbao,4.46,3.51,1.89,Athletic Bilbao,Athletic Bilbao,0.48,N,2,1,Sporting Gijon,4.46
44,laliga,2016-08-21,19:15,Real Sociedad vs Real Madrid,Real Sociedad,Real Madrid,5.17,3.95,1.69,Real Madrid,Real Madrid,0.429,N,0,3,Real Madrid,1.69
45,serie-a,2016-08-21,19:45,Empoli vs Sampdoria,Empoli,Sampdoria,2.16,3.32,3.62,Empoli,Sampdoria,0.436,Y,0,1,Sampdoria,3.62
46,serie-a,2016-08-21,19:45,Genoa vs Cagliari,Genoa,Cagliari,1.99,3.43,4.11,Genoa,Genoa,0.518,N,3,1,Genoa,1.99
47,serie-a,2016-08-21,19:45,Bologna vs Crotone,Bologna,Crotone,1.75,3.45,5.66,Bologna,Bologna,0.601,N,1,0,Bologna,1.75
48,serie-a,2016-08-21,19:45,Palermo vs Sassuolo,Palermo,Sassuolo,3.32,3.13,2.39,Sassuolo,Sassuolo,0.395,N,0,1,Sassuolo,2.39
49,serie-a,2016-08-21,19:45,Pescara vs Napoli,Pescara,Napoli,8.31,4.59,1.43,Napoli,Napoli,0.577,N,2,2,Draw,4.59
50,serie-a,2016-08-21,19:45,Chievo vs Inter Milan,Chievo,Inter Milan,3.95,3.28,2.08,Inter Milan,Chievo,0.471,Y,2,0,Chievo,3.95
51,serie-a,2016-08-21,19:45,Atalanta vs Lazio Roma,Atalanta,Lazio Roma,2.88,3.18,2.65,Lazio Roma,Atalanta,0.451,Y,3,4,Lazio Roma,2.65
52,ligue-1,2016-08-21,19:45,Paris SG vs Metz,Paris SG,Metz,1.11,9.74,25.04,Paris SG,Paris SG,0.587,N,3,0,Paris SG,1.11
53,laliga,2016-08-21,21:15,Atletico Madrid vs Alaves,Atletico Madrid,Alaves,1.24,5.9,17.59,Atletico Madrid,Atletico Madrid,0.575,N,1,1,Draw,5.9
54,laliga,2016-08-22,19:00,Celta Vigo vs Leganes,Celta Vigo,Leganes,1.64,3.85,6.0,Celta Vigo,Celta Vigo,0.538,N,0,1,Leganes,6.0
55,laliga,2016-08-22,21:00,Valencia vs Las Palmas,Valencia,Las Palmas,1.73,3.86,5.01,Valencia,Valencia,0.381,N,2,4,Las Palmas,5.01
56,laliga,2016-08-26,19:45,Real Betis vs Deportivo,Real Betis,Deportivo,2.21,3.27,3.53,Real Betis,Real Betis,0.511,N,0,0,Draw,3.27
57,ligue-1,2016-08-26,19:45,Marseille vs Lorient,Marseille,Lorient,1.81,3.63,4.62,Marseille,Marseille,0.593,N,2,0,Marseille,1.81
58,laliga,2016-08-26,21:00,Espanyol vs Malaga,Espanyol,Malaga,2.31,3.22,3.37,Espanyol,Espanyol,0.465,N,2,2,Draw,3.22
59,bundesliga,2016-08-27,14:30,Augsburg vs Wolfsburg,Augsburg,Wolfsburg,2.89,3.33,2.54,Wolfsburg,Augsburg,0.499,Y,0,2,Wolfsburg,2.54
60,bundesliga,2016-08-27,14:30,Hamburger SV vs Ingolstadt,Hamburger SV,Ingolstadt,2.38,3.2,3.26,Hamburger SV,Hamburger SV,0.448,N,1,1,Draw,3.2
61,bundesliga,2016-08-27,14:30,Frankfurt vs Schalke 04,Frankfurt,Schalke 04,3.3,3.47,2.22,Schalke 04,Frankfurt,0.558,Y,1,0,Frankfurt,3.3
62,bundesliga,2016-08-27,14:30,FC Koln vs Darmstadt,FC Koln,Darmstadt,1.55,4.09,6.69,FC Koln,FC Koln,0.603,N,2,0,FC Koln,1.55
63,premier-league,2016-08-27,15:00,Everton vs Stoke City,Everton,Stoke City,1.67,4.04,5.36,Everton,Everton,0.543,N,1,0,Everton,1.67
64,premier-league,2016-08-27,15:00,Leicester City vs Swansea City,Leicester City,Swansea City,1.68,3.95,5.45,Leicester City,Leicester City,0.547,N,2,1,Leicester City,1.68
65,premier-league,2016-08-27,15:00,Watford vs Arsenal,Watford,Arsenal,5.82,4.02,1.64,Arsenal,Arsenal,0.403,N,1,3,Arsenal,1.64
66,premier-league,2016-08-27,15:00,Crystal Palace vs Bournemouth,Crystal Palace,Bournemouth,2.25,3.26,3.55,Crystal Palace,Crystal Palace,0.403,N,1,1,Draw,3.26
67,premier-league,2016-08-27,15:00,Southampton vs Sunderland,Southampton,Sunderland,1.47,4.56,7.42,Southampton,Southampton,0.559,N,1,1,Draw,4.56
68,premier-league,2016-08-27,15:00,Chelsea vs Burnley,Chelsea,Burnley,1.24,6.25,14.64,Chelsea,Chelsea,0.595,N,3,0,Chelsea,1.24
69,ligue-1,2016-08-27,16:00,Dijon vs Lyon,Dijon,Lyon,4.94,3.66,1.76,Lyon,Lyon,0.411,N,4,2,Dijon,4.94
70,serie-a,2016-08-27,17:00,Lazio Roma vs Juventus,Lazio Roma,Juventus,4.18,3.23,2.04,Juventus,Juventus,0.406,N,0,1,Juventus,2.04
71,laliga,2016-08-27,17:15,Osasuna vs Real Sociedad,Osasuna,Real Sociedad,3.09,3.12,2.54,Real Sociedad,Real Sociedad,0.549,N,0,2,Real Sociedad,2.54
72,laliga,2016-08-27,17:15,Eibar vs Valencia,Eibar,Valencia,2.77,3.28,2.68,Valencia,Eibar,0.555,Y,1,0,Eibar,2.77
73,bundesliga,2016-08-27,17:30,Monchengladb. vs Leverkusen,Monchengladb.,Leverkusen,2.47,3.48,2.88,Monchengladb.,Monchengladb.,0.424,N,2,1,Monchengladb.,2.47
74,premier-league,2016-08-27,17:30,Hull City vs Manchester Utd,Hull City,Manchester Utd,8.56,4.48,1.44,Manchester Utd,Manchester Utd,0.466,N,0,1,Manchester Utd,1.44
75,ligue-1,2016-08-27,19:00,Metz vs Angers,Metz,Angers,2.62,3.01,3.03,Metz,Metz,0.453,N,2,0,Metz,2.62
76,ligue-1,2016-08-27,19:00,Caen vs Bastia,Caen,Bastia,2.22,3.07,3.73,Caen,Caen,0.47,N,2,0,Caen,2.22
77,ligue-1,2016-08-27,19:00,Nice vs Lille,Nice,Lille,2.62,2.91,3.13,Nice,Nice,0.652,N,1,1,Draw,2.91
78,ligue-1,2016-08-27,19:00,Nancy vs Guingamp,Nancy,Guingamp,2.04,3.28,4.03,Nancy,Guingamp,0.47,Y,0,2,Guingamp,4.03
79,ligue-1,2016-08-27,19:00,Montpellier vs Rennes,Montpellier,Rennes,2.11,3.2,3.88,Montpellier,Montpellier,0.391,N,1,1,Draw,3.2
80,laliga,2016-08-27,19:15,Real Madrid vs Celta Vigo,Real Madrid,Celta Vigo,1.17,7.99,16.1,Real Madrid,Real Madrid,0.601,N,2,1,Real Madrid,1.17
81,serie-a,2016-08-27,19:45,Napoli vs AC Milan,Napoli,AC Milan,1.61,4.02,5.93,Napoli,Napoli,0.446,N,4,2,Napoli,1.61
82,laliga,2016-08-27,21:15,Leganes vs Atletico Madrid,Leganes,Atletico Madrid,8.74,3.92,1.49,Atletico Madrid,Atletico Madrid,0.427,N,0,0,Draw,3.92
83,premier-league,2016-08-28,13:30,West Bromwich vs Middlesbrough,West Bromwich,Middlesbrough,2.61,3.07,3.08,West Bromwich,West Bromwich,0.527,N,0,0,Draw,3.07
84,ligue-1,2016-08-28,14:00,Bordeaux vs Nantes,Bordeaux,Nantes,2.12,3.09,4.01,Bordeaux,Bordeaux,0.576,N,1,0,Bordeaux,2.12
85,bundesliga,2016-08-28,14:30,Hertha Berlin vs Freiburg,Hertha Berlin,Freiburg,2.0,3.45,4.0,Hertha Berlin,Hertha Berlin,0.569,N,2,1,Hertha Berlin,2.0
86,premier-league,2016-08-28,16:00,Manchester City vs West Ham Utd,Manchester City,West Ham Utd,1.27,6.37,11.8,Manchester City,Manchester City,0.648,N,3,1,Manchester City,1.27
87,ligue-1,2016-08-28,16:00,Saint-Etienne vs Toulouse,Saint-Etienne,Toulouse,2.18,3.14,3.73,Saint-Etienne,Saint-Etienne,0.465,N,0,0,Draw,3.14
88,bundesliga,2016-08-28,16:30,Hoffenheim vs RB Leipzig,Hoffenheim,RB Leipzig,2.43,3.41,2.98,Hoffenheim,Hoffenheim,0.393,N,2,2,Draw,3.41
89,serie-a,2016-08-28,17:00,Inter Milan vs Palermo,Inter Milan,Palermo,1.31,5.47,10.67,Inter Milan,Inter Milan,0.606,N,1,1,Draw,5.47
90,laliga,2016-08-28,17:15,Alaves vs Sporting Gijon,Alaves,Sporting Gijon,2.42,3.16,3.24,Alaves,Alaves,0.528,N,0,0,Draw,3.16
91,laliga,2016-08-28,17:15,Las Palmas vs Granada,Las Palmas,Granada,1.82,3.66,4.63,Las Palmas,Las Palmas,0.595,N,5,1,Las Palmas,1.82
92,laliga,2016-08-28,19:15,Athletic Bilbao vs FC Barcelona,Athletic Bilbao,FC Barcelona,6.07,4.3,1.56,FC Barcelona,FC Barcelona,0.391,N,0,1,FC Barcelona,1.56
93,serie-a,2016-08-28,19:45,Crotone vs Genoa,Crotone,Genoa,6.18,3.89,1.61,Genoa,Genoa,0.494,N,1,3,Genoa,1.61
94,serie-a,2016-08-28,19:45,Udinese vs Empoli,Udinese,Empoli,2.05,3.33,3.95,Udinese,Udinese,0.499,N,2,0,Udinese,2.05
95,serie-a,2016-08-28,19:45,Torino vs Bologna,Torino,Bologna,1.89,3.37,4.64,Torino,Torino,0.553,N,5,1,Torino,1.89
96,serie-a,2016-08-28,19:45,Cagliari vs AS Roma,Cagliari,AS Roma,5.19,4.1,1.66,AS Roma,AS Roma,0.456,N,2,2,Draw,4.1
97,serie-a,2016-08-28,19:45,Fiorentina vs Chievo,Fiorentina,Chievo,1.65,3.7,6.12,Fiorentina,Fiorentina,0.528,N,1,0,Fiorentina,1.65
98,serie-a,2016-08-28,19:45,Sampdoria vs Atalanta,Sampdoria,Atalanta,2.49,3.22,3.05,Sampdoria,Atalanta,0.389,Y,2,1,Sampdoria,2.49
99,ligue-1,2016-08-28,19:45,Monaco vs Paris SG,Monaco,Paris SG,4.55,3.68,1.82,Paris SG,Monaco,0.473,Y,3,1,Monaco,4.55
100,laliga,2016-08-28,21:15,Villarreal vs FC Sevilla,Villarreal,FC Sevilla,2.4,3.41,3.05,Villarreal,Villarreal,0.453,N,0,0,Draw,3.41
101,bundesliga,2016-09-09,19:30,Schalke 04 vs Bayern Munich,Schalke 04,Bayern Munich,10.81,5.79,1.29,Bayern Munich,Bayern Munich,0.487,N,0,2,Bayern Munich,1.29
102,laliga,2016-09-10,12:00,Celta Vigo vs Atletico Madrid,Celta Vigo,Atletico Madrid,5.82,3.53,1.72,Atletico Madrid,Celta Vigo,0.397,Y,0,4,Atletico Madrid,1.72
103,premier-league,2016-09-10,12:30,Manchester Utd vs Manchester City,Manchester Utd,Manchester City,2.41,3.09,3.39,Manchester Utd,Manchester City,0.416,Y,1,2,Manchester City,3.39
104,bundesliga,2016-09-10,14:30,Leverkusen vs Hamburger SV,Leverkusen,Hamburger SV,1.53,4.35,6.38,Leverkusen,Leverkusen,0.581,N,3,1,Leverkusen,1.53
105,bundesliga,2016-09-10,14:30,Darmstadt vs Frankfurt,Darmstadt,Frankfurt,3.29,3.34,2.29,Frankfurt,Frankfurt,0.544,N,1,0,Darmstadt,3.29
106,bundesliga,2016-09-10,14:30,Ingolstadt vs Hertha Berlin,Ingolstadt,Hertha Berlin,2.35,3.14,3.38,Ingolstadt,Hertha Berlin,0.589,Y,0,2,Hertha Berlin,3.38
107,bundesliga,2016-09-10,14:30,Freiburg vs Monchengladb.,Freiburg,Monchengladb.,3.68,3.69,2.01,Monchengladb.,Freiburg,0.481,Y,3,1,Freiburg,3.68
108,bundesliga,2016-09-10,14:30,Wolfsburg vs FC Koln,Wolfsburg,FC Koln,1.81,3.76,4.54,Wolfsburg,FC Koln,0.511,Y,0,0,Draw,3.76
109,laliga,2016-09-10,15:00,Real Madrid vs Osasuna,Real Madrid,Osasuna,1.06,15.37,37.27,Real Madrid,Real Madrid,0.653,N,5,2,Real Madrid,1.06
110,premier-league,2016-09-10,15:00,Arsenal vs Southampton,Arsenal,Southampton,1.62,4.01,6.05,Arsenal,Arsenal,0.591,N,2,1,Arsenal,1.62
111,premier-league,2016-09-10,15:00,Burnley vs Hull City,Burnley,Hull City,2.57,3.11,3.11,Burnley,Burnley,0.533,N,1,1,Draw,3.11
112,premier-league,2016-09-10,15:00,Middlesbrough vs Crystal Palace,Middlesbrough,Crystal Palace,2.4,3.16,3.32,Middlesbrough,Middlesbrough,0.483,N,1,2,Crystal Palace,3.32
113,premier-league,2016-09-10,15:00,Stoke City vs Tottenham,Stoke City,Tottenham,4.18,3.62,1.93,Tottenham,Tottenham,0.498,N,0,4,Tottenham,1.93
114,premier-league,2016-09-10,15:00,Bournemouth vs West Bromwich,Bournemouth,West Bromwich,2.11,3.18,4.07,Bournemouth,Bournemouth,0.45,N,1,0,Bournemouth,2.11
115,premier-league,2016-09-10,15:00,West Ham Utd vs Watford,West Ham Utd,Watford,1.88,3.61,4.44,West Ham Utd,Watford,0.399,Y,2,4,Watford,4.44
116,ligue-1,2016-09-10,16:00,Lyon vs Bordeaux,Lyon,Bordeaux,1.61,4.13,5.59,Lyon,Lyon,0.473,N,1,3,Bordeaux,5.59
117,serie-a,2016-09-10,17:00,Juventus vs Sassuolo,Juventus,Sassuolo,1.31,5.27,11.76,Juventus,Juventus,0.659,N,3,1,Juventus,1.31
118,laliga,2016-09-10,17:15,Malaga vs Villarreal,Malaga,Villarreal,2.45,3.09,3.27,Malaga,Villarreal,0.395,Y,0,2,Villarreal,3.27
119,laliga,2016-09-10,17:15,FC Sevilla vs Las Palmas,FC Sevilla,Las Palmas,1.51,4.52,6.38,FC Sevilla,FC Sevilla,0.557,N,2,1,FC Sevilla,1.51
120,bundesliga,2016-09-10,17:30,RB Leipzig vs Dortmund,RB Leipzig,Dortmund,5.68,4.25,1.6,Dortmund,RB Leipzig,0.525,Y,1,0,RB Leipzig,5.68
121,premier-league,2016-09-10,17:30,Liverpool vs Leicester City,Liverpool,Leicester City,1.68,4.02,5.37,Liverpool,Liverpool,0.644,N,4,1,Liverpool,1.68
122,ligue-1,2016-09-10,19:00,Bastia vs Toulouse,Bastia,Toulouse,2.88,2.92,2.82,Toulouse,Toulouse,0.403,N,2,1,Bastia,2.88
123,ligue-1,2016-09-10,19:00,Lorient vs Nancy,Lorient,Nancy,2.48,3.13,3.13,Lorient,Lorient,0.385,N,0,2,Nancy,3.13
124,ligue-1,2016-09-10,19:00,Angers vs Dijon,Angers,Dijon,2.27,3.04,3.64,Angers,Angers,0.503,N,3,1,Angers,2.27
125,ligue-1,2016-09-10,19:00,Guingamp vs Montpellier,Guingamp,Montpellier,2.38,3.15,3.27,Guingamp,Guingamp,0.55,N,1,1,Draw,3.15
126,ligue-1,2016-09-10,19:00,Lille vs Monaco,Lille,Monaco,2.44,3.05,3.27,Lille,Monaco,0.604,Y,1,4,Monaco,3.27
127,laliga,2016-09-10,19:30,FC Barcelona vs Alaves,FC Barcelona,Alaves,1.08,11.92,31.25,FC Barcelona,FC Barcelona,0.603,N,1,2,Alaves,31.25
128,serie-a,2016-09-10,19:45,Palermo vs Napoli,Palermo,Napoli,8.92,5.07,1.37,Napoli,Napoli,0.578,N,0,3,Napoli,1.37
129,laliga,2016-09-11,11:00,Sporting Gijon vs Leganes,Sporting Gijon,Leganes,2.48,3.07,3.22,Sporting Gijon,Sporting Gijon,0.419,N,2,1,Sporting Gijon,2.48
130,serie-a,2016-09-11,11:30,Bologna vs Cagliari,Bologna,Cagliari,2.21,3.24,3.6,Bologna,Bologna,0.486,N,2,1,Bologna,2.21
131,serie-a,2016-09-11,14:00,Atalanta vs Torino,Atalanta,Torino,2.62,3.22,2.87,Atalanta,Atalanta,0.487,N,2,1,Atalanta,2.62
132,serie-a,2016-09-11,14:00,AC Milan vs Udinese,AC Milan,Udinese,1.58,4.11,6.03,AC Milan,AC Milan,0.59,N,0,1,Udinese,6.03
133,serie-a,2016-09-11,14:00,AS Roma vs Sampdoria,AS Roma,Sampdoria,1.36,5.15,8.69,AS Roma,AS Roma,0.574,N,3,2,AS Roma,1.36
134,serie-a,2016-09-11,14:00,Chievo vs Lazio Roma,Chievo,Lazio Roma,3.5,3.18,2.27,Lazio Roma,Lazio Roma,0.399,N,1,1,Draw,3.18
135,ligue-1,2016-09-11,14:00,Nantes vs Metz,Nantes,Metz,1.72,3.5,5.64,Nantes,Nantes,0.395,N,0,3,Metz,5.64
136,bundesliga,2016-09-11,14:30,Werder Bremen vs Augsburg,Werder Bremen,Augsburg,2.41,3.47,2.97,Werder Bremen,Augsburg,0.377,Y,1,2,Augsburg,2.97
137,laliga,2016-09-11,15:00,Valencia vs Real Betis,Valencia,Real Betis,1.55,4.32,6.22,Valencia,Valencia,0.417,N,2,3,Real Betis,6.22
138,premier-league,2016-09-11,16:00,Swansea City vs Chelsea,Swansea City,Chelsea,6.31,4.17,1.58,Chelsea,Chelsea,0.643,N,2,2,Draw,4.17
139,ligue-1,2016-09-11,16:00,Rennes vs Caen,Rennes,Caen,2.06,3.35,3.85,Rennes,Rennes,0.564,N,2,0,Rennes,2.06
140,laliga,2016-09-11,17:15,Granada vs Eibar,Granada,Eibar,2.46,3.24,3.09,Granada,Eibar,0.514,Y,1,2,Eibar,3.09
141,laliga,2016-09-11,19:30,Deportivo vs Athletic Bilbao,Deportivo,Athletic Bilbao,3.54,3.27,2.22,Athletic Bilbao,Athletic Bilbao,0.465,N,0,1,Athletic Bilbao,2.22
142,serie-a,2016-09-11,19:45,Pescara vs Inter Milan,Pescara,Inter Milan,4.49,3.5,1.87,Inter Milan,Inter Milan,0.479,N,1,2,Inter Milan,1.87
143,ligue-1,2016-09-11,19:45,Nice vs Marseille,Nice,Marseille,2.2,3.27,3.54,Nice,Nice,0.61,N,3,2,Nice,2.2
144,serie-a,2016-09-12,19:45,Empoli vs Crotone,Empoli,Crotone,1.75,3.53,5.41,Empoli,Empoli,0.568,N,2,1,Empoli,1.75
145,premier-league,2016-09-12,20:00,Sunderland vs Everton,Sunderland,Everton,3.67,3.41,2.14,Everton,Everton,0.492,N,0,3,Everton,2.14
146,bundesliga,2016-09-16,19:30,FC Koln vs Freiburg,FC Koln,Freiburg,1.74,3.84,4.93,FC Koln,FC Koln,0.566,N,3,0,FC Koln,1.74
147,laliga,2016-09-16,19:45,Real Betis vs Granada,Real Betis,Granada,1.75,3.79,4.96,Real Betis,Real Betis,0.576,N,2,2,Draw,3.79
148,ligue-1,2016-09-16,19:45,Caen vs Paris SG,Caen,Paris SG,7.81,4.78,1.42,Paris SG,Paris SG,0.577,N,0,6,Paris SG,1.42
149,premier-league,2016-09-16,20:00,Chelsea vs Liverpool,Chelsea,Liverpool,2.18,3.51,3.44,Chelsea,Chelsea,0.46,N,1,2,Liverpool,3.44
150,laliga,2016-09-17,12:00,Leganes vs FC Barcelona,Leganes,FC Barcelona,17.18,7.63,1.18,FC Barcelona,FC Barcelona,0.526,N,1,5,FC Barcelona,1.18
151,bundesliga,2016-09-17,14:30,Hoffenheim vs Wolfsburg,Hoffenheim,Wolfsburg,2.74,3.62,2.5,Wolfsburg,Hoffenheim,0.603,Y,0,0,Draw,3.62
152,bundesliga,2016-09-17,14:30,Frankfurt vs Leverkusen,Frankfurt,Leverkusen,3.74,3.61,2.02,Leverkusen,Frankfurt,0.549,Y,2,1,Frankfurt,3.74
153,bundesliga,2016-09-17,14:30,Hamburger SV vs RB Leipzig,Hamburger SV,RB Leipzig,2.7,3.32,2.72,Hamburger SV,RB Leipzig,0.695,Y,0,4,RB Leipzig,2.72
154,bundesliga,2016-09-17,14:30,Dortmund vs Darmstadt,Dortmund,Darmstadt,1.16,8.24,17.78,Dortmund,Dortmund,0.618,N,6,0,Dortmund,1.16
155,bundesliga,2016-09-17,14:30,Bayern Munich vs Ingolstadt,Bayern Munich,Ingolstadt,1.13,8.84,22.93,Bayern Munich,Bayern Munich,0.632,N,3,1,Bayern Munich,1.13
