Season_Yr,Visitor_Team,Home_Team,Visitor_Team_PTS,Home_Team_PTS
2013,Fulham, Stoke City,0,1
2013,Reading, Wigan Athletic,2,3
2013,Manchester City, Chelsea,0,0
2013,Liverpool, Swansea City,0,0
2013,West Ham Utd, Tottenham,1,3
2013,Newcastle Utd, Southampton,0,2
2013,Reading, Aston Villa,0,1
2013,QP Rangers, Sunderland,0,0
2013,West Ham Utd, Manchester Utd,0,1
2013,Arsenal, Everton,1,1
2013,Fulham, Chelsea,0,0
2013,West Bromwich, Swansea City,1,3
2013,Newcastle Utd, Stoke City,1,2
2013,Norwich City, Southampton,1,1
2013,Manchester City, Wigan Athletic,2,0
2013,Liverpool, Tottenham,1,2
2013,Aston Villa, QP Rangers,1,1
2013,Stoke City, West Bromwich,1,0
2013,Manchester Utd, Reading,4,3
2013,Chelsea, West Ham Utd,1,3
2013,Southampton, Liverpool,0,1
2013,Swansea City, Arsenal,2,0
2013,Everton, Manchester City,1,1
2013,Tottenham, Fulham,3,0
2013,Sunderland, Norwich City,1,2
2013,Wigan Athletic, Newcastle Utd,0,3
2013,Reading, Southampton,0,1
2013,West Bromwich, Arsenal,0,2
2013,Stoke City, Aston Villa,0,0
2013,Norwich City, Swansea City,4,3
2013,QP Rangers, Wigan Athletic,2,2
2013,Chelsea, Sunderland,3,1
2013,Tottenham, Everton,1,2
2013,Liverpool, West Ham Utd,3,2
2013,Manchester Utd, Manchester City,3,2
2013,Newcastle Utd, Fulham,1,2
2013,Reading, Sunderland,0,3
2013,Wigan Athletic, Norwich City,1,2
2013,Fulham, QP Rangers,1,2
2013,Everton, Stoke City,1,1
2013,Sunderland, Manchester Utd,1,3
2013,Aston Villa, Liverpool,3,1
2013,Manchester City, Newcastle Utd,3,1
2013,Swansea City, Tottenham,0,1
2013,West Ham Utd, West Bromwich,0,0
2013,Arsenal, Reading,5,2
2013,Stoke City, Tottenham,0,0
2013,Arsenal, Wigan Athletic,1,0
2013,Everton, West Ham Utd,2,1
2013,Norwich City, West Bromwich,1,2
2013,Sunderland, Southampton,1,0
2013,QP Rangers, Newcastle Utd,0,1
2013,Reading, Manchester City,0,1
2013,Fulham, Liverpool,0,4
2013,Aston Villa, Chelsea,0,8
2013,Manchester Utd, Swansea City,1,1
2013,Manchester City, Sunderland,0,1
2013,Tottenham, Aston Villa,4,0
2013,Wigan Athletic, Everton,1,2
2013,Southampton, Fulham,1,1
2013,Newcastle Utd, Manchester Utd,3,4
2013,Chelsea, Norwich City,1,0
2013,West Bromwich, QP Rangers,2,1
2013,Swansea City, Reading,0,0
2013,Liverpool, Stoke City,1,3
2013,West Ham Utd, Reading,0,1
2013,Wigan Athletic, Aston Villa,3,0
2013,Southampton, Stoke City,3,3
2013,Manchester City, Norwich City,4,3
2013,West Bromwich, Manchester Utd,0,2
2013,Swansea City, Fulham,2,1
2013,Newcastle Utd, Arsenal,3,7
2013,Tottenham, Sunderland,2,1
2013,Liverpool, QP Rangers,3,0
2013,Chelsea, Everton,2,1
2013,Stoke City, Manchester City,0,3
2013,Aston Villa, Swansea City,2,2
2013,Manchester Utd, Wigan Athletic,4,0
2013,Norwich City, West Ham Utd,1,2
2013,Fulham, West Bromwich,2,1
2013,Reading, Tottenham,1,3
2013,Arsenal, Southampton,1,1
2013,Sunderland, Liverpool,0,3
2013,QP Rangers, Chelsea,1,0
2013,Everton, Newcastle Utd,2,1
2013,Swansea City, Everton,0,0
2013,West Ham Utd, Sunderland,0,3
2013,Chelsea, Stoke City,4,0
2013,West Bromwich, Reading,2,3
2013,Tottenham, QP Rangers,0,0
2013,Newcastle Utd, Norwich City,0,0
2013,Southampton, Aston Villa,1,0
2013,Wigan Athletic, Fulham,1,1
2013,Manchester City, Arsenal,2,0
2013,Liverpool, Manchester Utd,1,2
2013,Southampton, Chelsea,2,2
2013,Stoke City, Swansea City,1,3
2013,Sunderland, Wigan Athletic,3,2
2013,QP Rangers, West Ham Utd,1,1
2013,Aston Villa, West Bromwich,2,2
2013,Norwich City, Liverpool,0,5
2013,Fulham, Manchester City,0,2
2013,Reading, Newcastle Utd,2,1
2013,Manchester Utd, Tottenham,1,1
2013,Arsenal, Chelsea,1,2
2013,Everton, Southampton,0,0
2013,West Ham Utd, Arsenal,1,5
2013,Swansea City, Sunderland,0,0
2013,Newcastle Utd, Aston Villa,2,1
2013,Manchester City, QP Rangers,0,0
2013,Wigan Athletic, Stoke City,2,2
2013,Southampton, Manchester Utd,1,2
2013,West Ham Utd, Fulham,1,3
2013,West Bromwich, Everton,1,2
2013,Chelsea, Reading,2,2
2013,Tottenham, Norwich City,1,1
2013,Liverpool, Arsenal,2,2
2013,Chelsea, Newcastle Utd,2,3
2013,Swansea City, West Ham Utd,0,1
2013,Norwich City, QP Rangers,0,0
2013,Southampton, Wigan Athletic,2,2
2013,Manchester Utd, Fulham,1,0
2013,Aston Villa, Everton,3,3
2013,Stoke City, Arsenal,0,1
2013,Sunderland, Reading,1,2
2013,Liverpool, Manchester City,2,2
2013,Tottenham, West Bromwich,1,0
2013,Manchester City, Southampton,1,3
2013,QP Rangers, Swansea City,1,4
2013,Arsenal, Sunderland,1,0
2013,Reading, Stoke City,1,2
2013,Fulham, Norwich City,0,0
2013,Wigan Athletic, Chelsea,1,4
2013,Newcastle Utd, Tottenham,1,2
2013,Everton, Manchester Utd,0,2
2013,West Ham Utd, Aston Villa,1,2
2013,West Bromwich, Liverpool,2,0
2013,Swansea City, Liverpool,0,5
2013,Everton, Norwich City,1,2
2013,Wigan Athletic, Reading,3,0
2013,Sunderland, West Bromwich,1,2
2013,Manchester Utd, QP Rangers,2,0
2013,Aston Villa, Arsenal,1,2
2013,Stoke City, Fulham,0,1
2013,Chelsea, Manchester City,0,2
2013,Southampton, Newcastle Utd,2,4
2013,Tottenham, West Ham Utd,3,2
2013,Norwich City, Manchester Utd,0,4
2013,Liverpool, Wigan Athletic,4,0
2013,Newcastle Utd, Swansea City,0,1
2013,Fulham, Sunderland,2,2
2013,QP Rangers, Southampton,2,1
2013,Reading, Everton,1,3
2013,West Bromwich, Chelsea,0,1
2013,West Ham Utd, Stoke City,1,0
2013,Arsenal, Tottenham,1,2
2013,Manchester City, Aston Villa,1,0
2013,Southampton, Norwich City,0,0
2013,Aston Villa, Reading,2,1
2013,Sunderland, QP Rangers,1,3
2013,Swansea City, West Bromwich,1,2
2013,Tottenham, Liverpool,2,3
2013,Stoke City, Newcastle Utd,1,2
2013,Manchester City, Everton,0,2
2013,Arsenal, Swansea City,2,0
2013,West Bromwich, Stoke City,0,0
2013,Reading, Manchester Utd,0,1
2013,QP Rangers, Aston Villa,2,3
2013,Liverpool, Southampton,1,3
2013,West Ham Utd, Chelsea,0,2
2013,Norwich City, Sunderland,1,1
2013,Fulham, Tottenham,1,0
2013,Newcastle Utd, Wigan Athletic,1,2
2013,West Bromwich, West Ham Utd,1,3
2013,Manchester Utd, Sunderland,1,0
2013,Newcastle Utd, Manchester City,0,4
2013,Tottenham, Swansea City,2,1
2013,Norwich City, Wigan Athletic,0,1
2013,Chelsea, Southampton,1,2
2013,Reading, Arsenal,1,4
2013,Stoke City, Everton,0,1
2013,Liverpool, Aston Villa,2,1
2013,QP Rangers, Fulham,2,3
2013,Aston Villa, Stoke City,3,1
2013,Arsenal, West Bromwich,2,1
2013,Southampton, Reading,2,0
2013,Swansea City, Norwich City,2,2
2013,West Ham Utd, Liverpool,0,0
2013,Fulham, Newcastle Utd,0,1
2013,Wigan Athletic, QP Rangers,1,1
2013,Everton, Tottenham,2,2
2013,Sunderland, Chelsea,1,2
2013,Manchester City, Manchester Utd,2,1
2013,Fulham, Aston Villa,1,1
2013,West Ham Utd, Southampton,1,1
2013,Liverpool, Reading,0,0
2013,QP Rangers, Everton,0,2
2013,Norwich City, Arsenal,1,3
2013,Sunderland, Newcastle Utd,3,0
2013,Manchester Utd, Stoke City,2,0
2013,Everton, Arsenal,0,0
2013,Manchester Utd, West Ham Utd,2,2
2013,Chelsea, Fulham,3,0
2013,Wigan Athletic, Manchester City,0,1
2013,Stoke City, QP Rangers,2,0
2013,Wigan Athletic, West Ham Utd,0,2
2013,Reading, Norwich City,1,2
2013,Southampton, Swansea City,0,0
2013,Arsenal, Fulham,1,0
2013,Everton, Sunderland,0,1
2013,Newcastle Utd, West Bromwich,1,1
2013,Manchester City, Tottenham,1,3
2013,Chelsea, Liverpool,2,2
2013,Aston Villa, Manchester Utd,0,3
2013,Fulham, Everton,0,1
2013,Tottenham, Wigan Athletic,2,2
2013,Norwich City, Stoke City,0,1
2013,West Bromwich, Southampton,3,0
2013,Liverpool, Newcastle Utd,6,0
2013,West Ham Utd, Manchester City,1,2
2013,QP Rangers, Reading,0,0
2013,Manchester Utd, Arsenal,1,1
2013,Swansea City, Chelsea,0,2
2013,Sunderland, Aston Villa,1,6
2013,Manchester City, Swansea City,0,0
2013,Aston Villa, Norwich City,2,1
2013,Southampton, Tottenham,0,1
2013,Newcastle Utd, West Ham Utd,0,0
2013,Arsenal, QP Rangers,1,0
2013,Reading, Fulham,4,2
2013,Wigan Athletic, West Bromwich,3,2
2013,Everton, Liverpool,0,0
2013,Chelsea, Manchester Utd,1,0
2013,Stoke City, Sunderland,1,1
2013,West Bromwich, Manchester City,0,1
2013,Swansea City, Wigan Athletic,3,2
2013,Tottenham, Chelsea,2,2
2013,Chelsea, Aston Villa,2,1
2013,West Bromwich, Norwich City,0,4
2013,Southampton, Sunderland,1,1
2013,Tottenham, Stoke City,2,1
2013,Newcastle Utd, QP Rangers,2,1
2013,Swansea City, Manchester Utd,1,2
2013,Liverpool, Fulham,3,1
2013,West Ham Utd, Everton,0,2
2013,Wigan Athletic, Arsenal,1,4
2013,Manchester City, Reading,2,0
2013,Aston Villa, Wigan Athletic,2,2
2013,Everton, Chelsea,1,2
2013,QP Rangers, Liverpool,0,1
2013,Norwich City, Manchester City,3,2
2013,Arsenal, Newcastle Utd,1,0
2013,Stoke City, Southampton,1,1
2013,Fulham, Swansea City,3,0
2013,Sunderland, Tottenham,0,1
2013,Manchester Utd, West Bromwich,5,5
2013,Reading, West Ham Utd,2,4
2014,Stoke City, Liverpool,0,1
2014,Everton, Norwich City,2,2
2014,Fulham, Sunderland,1,0
2014,Southampton, West Bromwich,1,0
2014,Cardiff City, West Ham Utd,0,2
2014,Aston Villa, Arsenal,3,1
2014,Manchester Utd, Swansea City,4,1
2014,Tottenham, Crystal Palace,1,0
2014,Hull City, Chelsea,0,2
2014,Newcastle Utd, Manchester City,0,4
2014,Aston Villa, Chelsea,1,2
2014,Arsenal, Fulham,3,1
2014,Crystal Palace, Stoke City,1,2
2014,Sunderland, Southampton,1,1
2014,West Ham Utd, Newcastle Utd,0,0
2014,Norwich City, Hull City,0,1
2014,West Bromwich, Everton,0,0
2014,Liverpool, Aston Villa,1,0
2014,Swansea City, Tottenham,0,1
2014,Manchester City, Cardiff City,2,3
2014,Chelsea, Manchester Utd,0,0
2014,Hull City, Manchester City,0,2
2014,Stoke City, West Ham Utd,1,0
2014,Southampton, Norwich City,0,1
2014,Fulham, Newcastle Utd,0,1
2014,Everton, Cardiff City,0,0
2014,Sunderland, Crystal Palace,1,3
2014,Swansea City, West Bromwich,2,0
2014,Manchester Utd, Liverpool,0,1
2014,Tottenham, Arsenal,0,1
2014,Crystal Palace, Manchester Utd,0,2
2014,Norwich City, Tottenham,0,2
2014,Arsenal, Sunderland,3,1
2014,Manchester City, Stoke City,0,0
2014,Cardiff City, Hull City,1,1
2014,West Bromwich, Fulham,1,1
2014,Newcastle Utd, Aston Villa,2,1
2014,Chelsea, Everton,0,1
2014,West Ham Utd, Southampton,0,0
2014,Liverpool, Swansea City,2,2
2014,Aston Villa, Norwich City,1,0
2014,Southampton, Liverpool,1,0
2014,Everton, West Ham Utd,3,2
2014,Hull City, Newcastle Utd,3,2
2014,Sunderland, West Bromwich,0,3
2014,Fulham, Chelsea,0,2
2014,Stoke City, Arsenal,1,3
2014,Swansea City, Crystal Palace,2,0
2014,Manchester Utd, Manchester City,1,4
2014,Tottenham, Cardiff City,1,0
2014,Chelsea, Tottenham,1,1
2014,Crystal Palace, Southampton,0,2
2014,Manchester City, Aston Villa,2,3
2014,Cardiff City, Fulham,2,1
2014,West Ham Utd, Hull City,0,1
2014,West Bromwich, Manchester Utd,2,1
2014,Arsenal, Swansea City,2,1
2014,Norwich City, Stoke City,1,0
2014,Liverpool, Sunderland,3,1
2014,Newcastle Utd, Everton,2,3
2014,Everton, Manchester City,1,3
2014,Newcastle Utd, Cardiff City,2,1
2014,Stoke City, Fulham,0,1
2014,Aston Villa, Hull City,0,0
2014,Crystal Palace, Liverpool,1,3
2014,Manchester Utd, Sunderland,2,1
2014,Chelsea, Norwich City,3,1
2014,Swansea City, Southampton,0,2
2014,West Ham Utd, Tottenham,3,0
2014,Arsenal, West Bromwich,1,1
2014,Liverpool, Newcastle Utd,2,2
2014,Cardiff City, Chelsea,1,4
2014,Hull City, Everton,1,2
2014,Southampton, Manchester Utd,1,1
2014,West Bromwich, Stoke City,0,0
2014,Sunderland, Swansea City,0,4
2014,Norwich City, Arsenal,1,4
2014,Manchester City, West Ham Utd,3,1
2014,Tottenham, Aston Villa,2,0
2014,Fulham, Crystal Palace,4,1
2014,Arsenal, Crystal Palace,2,0
2014,Cardiff City, Norwich City,0,0
2014,Stoke City, Manchester Utd,2,3
2014,West Bromwich, Liverpool,1,4
2014,Everton, Aston Villa,2,0
2014,Fulham, Southampton,0,2
2014,Newcastle Utd, Sunderland,1,2
2014,West Ham Utd, Swansea City,0,0
2014,Hull City, Tottenham,0,1
2014,Manchester City, Chelsea,1,2
2014,Chelsea, Newcastle Utd,0,2
2014,Sunderland, Hull City,0,1
2014,Aston Villa, West Ham Utd,0,0
2014,Crystal Palace, West Bromwich,0,2
2014,Southampton, Stoke City,1,1
2014,Manchester Utd, Fulham,3,1
2014,Norwich City, Manchester City,0,7
2014,Liverpool, Arsenal,0,2
2014,Tottenham, Everton,0,0
2014,Swansea City, Cardiff City,0,1
2014,Cardiff City, Aston Villa,0,2
2014,West Bromwich, Chelsea,2,2
2014,Fulham, Liverpool,0,4
2014,Hull City, Southampton,1,4
2014,Everton, Crystal Palace,0,0
2014,West Ham Utd, Norwich City,1,3
2014,Newcastle Utd, Tottenham,1,0
2014,Manchester City, Sunderland,0,1
2014,Stoke City, Swansea City,3,3
2014,Arsenal, Manchester Utd,0,1
2014,Liverpool, Everton,3,3
2014,Swansea City, Fulham,2,1
2014,Crystal Palace, Hull City,1,0
2014,Norwich City, Newcastle Utd,1,2
2014,Sunderland, Stoke City,0,2
2014,Southampton, Arsenal,0,2
2014,Chelsea, West Ham Utd,3,0
2014,Tottenham, Manchester City,0,6
2014,Manchester Utd, Cardiff City,2,2
2014,Aston Villa, West Bromwich,2,2
2014,Stoke City, Everton,0,4
2014,Fulham, West Ham Utd,0,3
2014,Crystal Palace, Norwich City,0,1
2014,Sunderland, Aston Villa,0,0
2014,Arsenal, Cardiff City,3,0
2014,West Bromwich, Newcastle Utd,1,2
2014,Manchester Utd, Tottenham,2,2
2014,Liverpool, Hull City,1,3
2014,Swansea City, Manchester City,0,3
2014,Southampton, Chelsea,1,3
2014,West Ham Utd, Crystal Palace,0,1
2014,Everton, Manchester Utd,1,0
2014,Newcastle Utd, Swansea City,0,3
2014,Chelsea, Sunderland,4,3
2014,Aston Villa, Southampton,3,2
2014,Norwich City, Liverpool,1,5
2014,Hull City, Arsenal,0,2
2014,Cardiff City, Stoke City,0,0
2014,Manchester City, West Bromwich,3,2
2014,Tottenham, Fulham,2,1
2014,Newcastle Utd, Manchester Utd,1,0
2014,Norwich City, West Bromwich,2,0
2014,Chelsea, Stoke City,2,3
2014,Manchester City, Southampton,1,1
2014,Cardiff City, Crystal Palace,0,2
2014,West Ham Utd, Liverpool,1,4
2014,Tottenham, Sunderland,2,1
2014,Aston Villa, Fulham,0,2
2014,Everton, Arsenal,1,1
2014,Hull City, Swansea City,1,1
2014,Arsenal, Manchester City,3,6
2014,Sunderland, West Ham Utd,0,0
2014,Southampton, Newcastle Utd,1,1
2014,Fulham, Everton,1,4
2014,Crystal Palace, Chelsea,1,2
2014,West Bromwich, Cardiff City,0,1
2014,Stoke City, Hull City,0,0
2014,Swansea City, Norwich City,1,1
2014,Manchester Utd, Aston Villa,3,0
2014,Liverpool, Tottenham,5,0
2014,Cardiff City, Liverpool,1,3
2014,Aston Villa, Stoke City,1,2
2014,Norwich City, Sunderland,0,0
2014,Hull City, West Bromwich,1,1
2014,Manchester City, Fulham,4,2
2014,Newcastle Utd, Crystal Palace,3,0
2014,West Ham Utd, Manchester Utd,1,3
2014,Tottenham, Southampton,3,2
2014,Everton, Swansea City,2,1
2014,Chelsea, Arsenal,0,0
2014,Manchester Utd, Hull City,3,2
2014,Stoke City, Newcastle Utd,1,5
2014,Arsenal, West Ham Utd,3,1
2014,Fulham, Norwich City,2,1
2014,Swansea City, Chelsea,0,1
2014,Southampton, Cardiff City,3,0
2014,Crystal Palace, Aston Villa,1,0
2014,Sunderland, Everton,1,0
2014,West Bromwich, Tottenham,1,1
2014,Liverpool, Manchester City,1,2
2014,West Bromwich, West Ham Utd,3,3
2014,Swansea City, Aston Villa,1,1
2014,Manchester Utd, Norwich City,1,0
2014,Fulham, Hull City,0,6
2014,Crystal Palace, Manchester City,0,1
2014,Sunderland, Cardiff City,2,2
2014,Arsenal, Newcastle Utd,1,0
2014,Southampton, Everton,1,2
2014,Stoke City, Tottenham,0,3
2014,Liverpool, Chelsea,1,2
2014,Manchester City, Swansea City,3,2
2014,Norwich City, Crystal Palace,1,1
2014,West Ham Utd, Fulham,1,2
2014,Hull City, Liverpool,0,2
2014,Chelsea, Southampton,3,0
2014,Everton, Stoke City,1,1
2014,Aston Villa, Sunderland,1,0
2014,Newcastle Utd, West Bromwich,0,1
2014,Cardiff City, Arsenal,0,2
2014,Tottenham, Manchester Utd,2,1
2014,Chelsea, Hull City,2,0
2014,Crystal Palace, Tottenham,0,2
2014,West Bromwich, Southampton,0,1
2014,Norwich City, Everton,0,2
2014,West Ham Utd, Cardiff City,2,0
2014,Sunderland, Fulham,4,1
2014,Swansea City, Manchester Utd,0,2
2014,Manchester City, Newcastle Utd,2,0
2014,Liverpool, Stoke City,5,3
2014,Arsenal, Aston Villa,2,1
2014,Southampton, Sunderland,2,2
2014,Newcastle Utd, West Ham Utd,3,1
2014,Fulham, Arsenal,0,2
2014,Stoke City, Crystal Palace,0,1
2014,Cardiff City, Manchester City,2,4
2014,Hull City, Norwich City,0,1
2014,Aston Villa, Liverpool,2,2
2014,Tottenham, Swansea City,3,1
2014,Manchester Utd, Chelsea,1,3
2014,Everton, West Bromwich,1,1
2014,Newcastle Utd, Norwich City,0,0
2014,Fulham, Swansea City,0,2
2014,Arsenal, Southampton,2,2
2014,Cardiff City, Manchester Utd,0,2
2014,Everton, Liverpool,0,4
2014,Hull City, Crystal Palace,0,1
2014,Manchester City, Tottenham,5,1
2014,West Ham Utd, Chelsea,0,0
2014,West Bromwich, Aston Villa,3,4
2014,Stoke City, Sunderland,0,1
2014,Swansea City, West Ham Utd,0,2
2014,Sunderland, Newcastle Utd,3,0
2014,Tottenham, Hull City,1,1
2014,Manchester Utd, Stoke City,1,2
2014,Southampton, Fulham,3,0
2014,Aston Villa, Everton,1,2
2014,Norwich City, Cardiff City,1,2
2014,Liverpool, West Bromwich,1,1
2014,Crystal Palace, Arsenal,0,2
2014,Chelsea, Manchester City,1,0
2014,Arsenal, Liverpool,1,5
2014,Stoke City, Southampton,2,2
2014,Hull City, Sunderland,2,0
2014,Manchester City, Norwich City,0,0
2014,West Bromwich, Crystal Palace,1,3
2014,West Ham Utd, Aston Villa,2,0
2014,Newcastle Utd, Chelsea,0,3
2014,Cardiff City, Swansea City,0,3
2014,Everton, Tottenham,0,1
2014,Fulham, Manchester Utd,2,2
2014,Aston Villa, Cardiff City,0,0
2014,Southampton, Hull City,1,0
2014,Norwich City, West Ham Utd,0,2
2014,Chelsea, West Bromwich,1,1
2014,Tottenham, Newcastle Utd,4,0
2014,Manchester Utd, Arsenal,0,0
2014,Liverpool, Fulham,3,2
2014,Swansea City, Stoke City,1,1
2014,Everton, Chelsea,0,1
2014,Stoke City, Manchester City,0,1
2014,Southampton, West Ham Utd,1,3
2014,Sunderland, Arsenal,1,4
2014,Hull City, Cardiff City,4,0
2014,Fulham, West Bromwich,1,1
2014,Manchester Utd, Crystal Palace,2,0
2014,Swansea City, Liverpool,3,4
2014,Aston Villa, Newcastle Utd,0,1
2014,Tottenham, Norwich City,0,1
2014,Newcastle Utd, Hull City,4,1
2014,Chelsea, Fulham,3,1
2014,Arsenal, Stoke City,0,1
2014,West Ham Utd, Everton,0,1
2014,Liverpool, Southampton,3,0
2014,Norwich City, Aston Villa,1,4
2014,Crystal Palace, Swansea City,1,1
2014,Cardiff City, Tottenham,0,1
2014,Manchester Utd, West Bromwich,3,0
2014,Fulham, Cardiff City,1,3
2014,Stoke City, Norwich City,1,1
2014,Southampton, Crystal Palace,1,0
2014,Tottenham, Chelsea,0,4
2014,Manchester City, Hull City,2,0
2014,Norwich City, Southampton,2,4
2014,West Ham Utd, Stoke City,1,3
2014,Crystal Palace, Sunderland,0,0
2014,Newcastle Utd, Fulham,0,1
2014,Cardiff City, Everton,1,2
2014,West Bromwich, Swansea City,2,1
2014,Chelsea, Aston Villa,0,1
